InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536365,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,1/12/2010 8:26,2.55,17850.0,United Kingdom
536367,84879,ASSORTED COLOUR BIRD ORNAMENT,32,1/12/2010 8:34,1.69,13047.0,United Kingdom
536373,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,1/12/2010 9:02,2.55,17850.0,United Kingdom
536375,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,1/12/2010 9:32,2.55,17850.0,United Kingdom
536378,22386,JUMBO BAG PINK POLKADOT,10,1/12/2010 9:37,1.95,14688.0,United Kingdom
536378,20725,LUNCH BAG RED RETROSPOT,10,1/12/2010 9:37,1.65,14688.0,United Kingdom
536378,21212,PACK OF 72 RETROSPOT CAKE CASES,120,1/12/2010 9:37,0.42,14688.0,United Kingdom
536384,22457,NATURAL SLATE HEART CHALKBOARD ,12,1/12/2010 9:53,2.95,18074.0,United Kingdom
536384,22469,HEART OF WICKER SMALL,40,1/12/2010 9:53,1.45,18074.0,United Kingdom
536386,85099B,JUMBO BAG RED RETROSPOT,100,1/12/2010 9:57,1.65,16029.0,United Kingdom
536388,22469,HEART OF WICKER SMALL,12,1/12/2010 9:59,1.65,16250.0,United Kingdom
536390,85123A,WHITE HANGING HEART T-LIGHT HOLDER,64,1/12/2010 10:19,2.55,17511.0,United Kingdom
536390,85099B,JUMBO BAG RED RETROSPOT,100,1/12/2010 10:19,1.65,17511.0,United Kingdom
536392,84879,ASSORTED COLOUR BIRD ORNAMENT,16,1/12/2010 10:29,1.69,13705.0,United Kingdom
536394,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,1/12/2010 10:39,2.55,13408.0,United Kingdom
536395,84879,ASSORTED COLOUR BIRD ORNAMENT,32,1/12/2010 10:47,1.69,13767.0,United Kingdom
536395,21212,PACK OF 72 RETROSPOT CAKE CASES,24,1/12/2010 10:47,0.55,13767.0,United Kingdom
536396,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,1/12/2010 10:51,2.55,17850.0,United Kingdom
536401,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,1/12/2010 11:21,2.95,15862.0,United Kingdom
536401,20725,LUNCH BAG RED RETROSPOT,1,1/12/2010 11:21,1.65,15862.0,United Kingdom
536404,22469,HEART OF WICKER SMALL,12,1/12/2010 11:29,1.65,16218.0,United Kingdom
536404,21212,PACK OF 72 RETROSPOT CAKE CASES,24,1/12/2010 11:29,0.55,16218.0,United Kingdom
536404,20727,LUNCH BAG  BLACK SKULL.,10,1/12/2010 11:29,1.65,16218.0,United Kingdom
536406,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,1/12/2010 11:33,2.55,17850.0,United Kingdom
536408,84879,ASSORTED COLOUR BIRD ORNAMENT,8,1/12/2010 11:41,1.69,14307.0,United Kingdom
536408,21212,PACK OF 72 RETROSPOT CAKE CASES,24,1/12/2010 11:41,0.55,14307.0,United Kingdom
536409,85099B,JUMBO BAG RED RETROSPOT,2,1/12/2010 11:45,1.95,17908.0,United Kingdom
536412,20727,LUNCH BAG  BLACK SKULL.,3,1/12/2010 11:49,1.65,17920.0,United Kingdom
536412,20725,LUNCH BAG RED RETROSPOT,1,1/12/2010 11:49,1.65,17920.0,United Kingdom
536414,22139,,56,1/12/2010 11:52,0.0,,United Kingdom
536415,22469,HEART OF WICKER SMALL,5,1/12/2010 11:57,1.65,12838.0,United Kingdom
536415,21212,PACK OF 72 RETROSPOT CAKE CASES,2,1/12/2010 11:57,0.55,12838.0,United Kingdom
